Predikovaná teplota (°C);Predikovaný uhlík (°C)
1300.0389836544773;4.405840059485839
1301.4358502267037;4.407751707914203
1304.471095463389;4.41154438131363
1310.1441216393337;4.424957420205182
1316.1130717034684;4.43071763629554
1323.3992737469066;4.446202397859574
1330.1031622695546;4.463057198925712
1338.009183436489;4.4733069551891536
1346.0843419393027;4.481388517101024
1354.215356956924;4.486435082983764
1361.8323206617504;4.497580896519641
1369.607515093467;4.511681316077019
1377.422320508626;4.52332360633187
1384.635157731104;4.526684020371366
1392.3941249402283;4.5319982528661455
1400.287011687305;4.537104205541969
1408.0972736208537;4.5510381775287865
1416.288772448511;4.566179553700451
1423.07492844312;4.584216141078298
1347.5209142552135;4.292147883470188
1321.0760079045401;4.178262223367126
1314.4157541990426;4.129422371563412
1314.7603804391456;4.1173882188972595
1318.7353539879948;4.121628456635603
1323.6806725139718;4.148087592597843
1329.4652558464422;4.174424555272184
1335.5569699597622;4.198862408682755
1339.7197044693012;4.210050123642798
1343.747025594441;4.225448278877723
1346.5983596336132;4.233515318252065
1347.9606513194294;4.2390560338817025
1346.5719726409716;4.22978619742112
1339.7573172165064;4.200818061741987
1331.7830022237115;4.170487575920328
1323.7362439896142;4.129729844608013
1316.7736083206573;4.095904748335314
1309.5581175598136;4.0560579956527745
1305.5210842451409;4.027759161056478
1303.514772461962;4.013229760968088
1303.1199151360038;4.004824790462331
1303.2289106705623;4.001335376145056
1303.0202301353365;3.9952508964777955
1302.9383522022608;3.995296152904088
1302.5396397417694;3.989812545145497
1302.2528614680741;3.976500123569022
1301.4798850982647;3.973124686147224
1300.8967572029264;3.963304723452023
1300.3161542992825;3.959295348561878
1267.1543949947845;3.620759220935084
1265.7210520584415;3.6273375825797167
1263.6267060239547;3.611575777369929
1262.609297401217;3.5549637388649904
1262.4222754018253;3.5381897678837086
1263.2813909819415;3.4626323611578824
1265.4569047647778;3.41232018312499
1268.035319494345;3.3851244543696914
1271.154720248754;3.385171976806373
1297.5741560425092;3.698796372389348
1301.3303798774748;3.6923930463399603
1302.1575322769713;3.725032130517617
1303.7910993545001;3.7378448444349206
1306.750988572603;3.7255299702718974
1308.5227592219285;3.709434576770911
1291.5883741170674;3.5746168332509196
1294.3794873338043;3.467981808943081
1298.3787316402506;3.419002456769205
