Èas (s);CO (%);CO2 (%);H2 (%);CH4 (%);O2 (%);Teplota (°C)
1495;3.275422;16.943943;7.640397;2.341659;0.429956;793.15
1496;3.548781;17.474461;8.237166;2.532363;0.002926;790.98
1497;3.75882;17.645989;8.924295;2.730277;0;788.75
1498;3.92769;17.759042;9.35931;2.901691;0;786.53
1499;3.939929;17.767212;9.493211;2.991136;0;783.92
1500;3.86004;17.705768;9.447921;3.000241;0;780.47
1501;3.780545;17.651412;9.417204;3.004743;0;775.98
1502;3.723857;17.60901;9.488908;3.009206;0;771.86
1503;3.813079;17.741487;10.083682;3.171629;0;768.06
1504;4.053128;18.050006;10.946346;3.47538;0;764.47
1505;4.293991;18.380925;11.855204;3.837447;0;760.84
1506;4.501067;18.67559;12.744063;4.202311;0;757.11
1507;4.679577;18.959001;13.520384;4.574741;0;752.92
1508;4.698403;19.070038;13.883714;4.81116;0;748.01
1509;4.696527;19.251135;14.548123;5.18134;0;742.68
1510;4.820071;19.631393;15.479677;5.747501;0;737.13
1511;4.999254;20.106919;16.547009;6.411614;0;731.83
1512;5.187459;20.619259;17.662785;7.139766;0;727.38
1513;5.374768;21.150527;18.693006;7.89817;0;723.88
1514;5.402985;21.411691;18.93589;8.327619;0;722.05
1515;5.117425;21.537772;18.109707;8.165578;0;721.21
1516;4.673269;21.89418;16.666663;7.617181;0;720.97
1517;4.208437;22.463119;14.874938;6.841229;0.000015;721.42
1518;3.802258;23.197585;13.038879;5.996089;0.002249;722.67
1519;3.498507;24.094366;11.459422;5.198901;0.007884;724.53
1520;3.416049;24.997956;10.584312;4.746956;0.014111;726.88
1521;3.499798;25.661529;10.179827;4.548673;0.024088;729.68
1522;3.627455;26.134385;9.990829;4.452819;0.036953;732.86
1523;3.747674;26.475375;9.846943;4.381342;0.049096;735.85
1524;3.835288;26.736069;9.689177;4.304498;0.058774;737.55
1525;3.902754;26.935343;9.54437;4.204892;0.072414;738.58
1526;3.965203;27.07901;9.413638;4.094618;0.090159;739.26
1527;4.018833;27.191974;9.319239;3.995407;0.111506;739.75
1528;4.083437;27.284001;9.281772;3.892724;0.134135;740.21
1529;4.1581;27.380504;9.288944;3.821412;0.171328;740.56
1530;4.241359;27.466306;9.326573;3.776473;0.2094;740.83
1531;4.328388;27.542876;9.389971;3.757004;0.250452;741.03
1532;4.420886;27.598274;9.451629;3.745191;0.294003;741.08
1533;4.498537;27.649565;9.512499;3.748052;0.337664;740.54
1534;4.603884;27.663711;9.701923;3.772874;0.374056;739.75
1535;4.748263;27.609051;9.926409;3.821094;0.409834;738.74
1536;4.932615;27.670368;10.632018;3.96279;0.439908;738.19
1537;5.684076;28.854572;11.612199;4.225721;0.474607;739.34
1538;6.832643;30.781087;12.400763;4.476369;0.531086;741.34
1539;8.536555;33.343333;13.146081;4.657625;0.609766;748.35
1540;10.463973;36.152953;13.529178;4.753543;0.712424;760.44
1541;12.953127;39.733578;12.830273;4.541985;0.850793;779.62
1542;16.281623;42.406658;11.732305;4.003723;1.022067;798.69
1543;21.330441;43.643246;11.093263;3.308493;1.204137;818.98
1544;20.38006;43.578407;10.704068;2.617002;1.386901;840.04
1545;17.427981;42.828345;10.966356;1.968974;1.565523;863.15
1546;13.858836;40.696394;12.16645;1.528525;1.71592;885.35
1547;8.872245;38.032476;13.708547;1.268175;1.824148;906.69
1548;1.754042;35.743906;15.226616;1.192908;1.89999;927.56
1549;0.006582;33.758547;16.635819;1.155421;1.937565;945.03
1550;0.00472;32.04485;17.93813;1.153132;1.942919;958.11
1551;0.0039;30.596767;19.076887;1.148134;1.927601;965.14
1552;0.004646;29.359244;19.975282;1.159821;1.897522;972.76
1553;0.004331;28.413951;20.711069;1.112262;1.850569;976.97
1554;0.004989;27.521475;21.612145;1.123376;1.793179;979.88
1555;0.005613;26.877358;22.53903;1.213139;1.734425;979.21
1556;0.004799;26.326679;23.44354;1.349049;1.671706;977.57
1557;0.004682;25.577106;24.533069;1.504174;1.602644;970.93
1558;0.004488;24.47166;26.683009;1.819877;1.531091;961.59
1559;0.005807;22.986783;29.814359;2.344673;1.447612;948.99
1560;6.400517;21.13715;32.825695;2.976729;1.344476;934.29
1561;12.878424;19.251536;35.684402;3.744848;1.230878;917.32
1562;18.635461;17.614529;38.360306;4.64365;1.117886;898.66
1563;23.85812;16.330529;39.868314;5.524294;1.004036;878.96
1564;29.827196;16.83021;37.754356;6.322093;0.920736;859
1565;23.571688;19.2303;34.641398;7.965362;0.882504;840.01
1566;23.313905;22.201345;31.569869;9.988335;0.875751;821.84
1567;25.388531;25.107283;28.811671;12.321557;0.880055;807.38
1568;27.634705;28.027616;25.983442;14.742851;0.905795;794.77
1569;29.437041;29.69804;25.4338;17.082241;0.933733;783.38
1570;37.198594;29.774331;25.856276;18.206005;0.94212;773.03
1571;38.71312;29.43921;26.238218;18.880049;0.948775;763.51
1572;37.05571;29.077645;26.308167;19.128879;0.962896;754.89
1573;29.713325;28.435772;26.739214;19.165425;0.969396;749.59
1574;21.941677;27.575372;27.395077;19.311966;0.951138;745.02
1575;17.818178;26.81578;27.95298;19.903419;0.934155;740.87
1576;17.926412;26.307827;28.177425;20.590575;0.912204;737.01
1577;12.174581;25.886363;28.478493;20.941044;0.890099;733.38
1578;16.088336;25.778937;28.574108;21.376013;0.874832;729.93
1579;23.95388;25.993153;29.160297;21.797159;0.873825;728.41
1580;25.11212;25.837482;30.969977;26.656659;0.846902;728.33
1581;19.893007;25.789243;32.181668;34.223936;0.807455;728.76
1582;20.877077;25.533821;31.977783;40.648718;0.761218;729.19
1583;18.029718;24.839665;30.63186;44.969067;0.705219;729.39
1584;10.950442;23.76531;27.744166;47.33207;0.648682;729.24
1585;6.580481;22.731538;23.142798;43.589746;0.616352;729.15
1586;4.598975;21.167439;19.025676;35.624213;0.589167;729.64
1587;3.585276;19.782117;15.991624;28.472767;0.557245;730.67
1588;3.006354;18.739895;13.800942;22.791701;0.526092;732.26
1589;2.689818;18.01896;12.221658;18.42883;0.495653;732.6
1590;2.507703;17.564294;11.034489;15.235615;0.463522;732.17
1591;2.405396;17.271982;10.113932;12.844623;0.430311;731.85
1592;2.349476;17.064448;9.383816;10.973964;0.403647;732.06
1593;2.325818;16.918091;8.818461;9.503176;0.382786;732.98
1594;2.322035;16.813221;8.373427;8.324072;0.364715;734.62
1595;2.346717;16.7491;8.036393;7.367372;0.343056;736.63
1596;2.40366;16.716725;7.804776;6.570909;0.3231;738.51
1597;2.47906;16.721462;7.647086;5.925234;0.278333;740.26
1598;2.562135;16.747873;7.523124;5.388079;0.226854;741.88
1599;2.654715;16.795056;7.435387;4.951991;0.17524;742.33
1600;2.764067;17.94691;6.320947;4.514899;0.382639;741.15
1601;2.909654;24.200908;4.812887;3.885806;0.816917;737.85
1602;3.844024;30.779599;3.998464;3.623447;1.060859;733.64
1603;8.049527;36.96624;5.40169;3.959089;1.25673;728.82
1604;14.591501;40.89694;8.375788;5.360968;1.432575;723.72
1605;21.779773;42.55805;13.081772;7.951565;1.339835;718.66
1606;28.822063;38.651415;18.646022;11.577854;1.012662;713.6
1607;34.760427;34.206715;23.682013;15.419554;0.883284;708.51
1608;37.133616;30.077465;26.616651;19.16395;0.795324;703.29
1609;37.133889;28.274315;28.052314;21.825999;0.723982;698.98
1610;36.238056;27.604015;28.828314;23.75336;0.669644;695.96
1611;35.354443;27.447785;29.066879;25.061266;0.62507;694.72
1612;34.954069;27.519866;29.146787;25.690512;0.594075;694.08
1613;34.7004;27.641477;29.192728;26.068105;0.577073;693.76
1614;34.450846;27.78227;29.094743;26.383275;0.554433;693.49
1615;34.372566;28.023985;28.973629;26.245445;0.540358;692.92
1616;34.328542;28.169432;29.0528;25.847366;0.530157;692.05
1617;34.215636;27.996353;29.310714;25.804576;0.515707;690.95
1618;28.936128;27.33655;29.376883;25.301105;0.494392;689.68
1619;27.334507;27.012231;29.360927;24.769736;0.489706;688.29
1620;27.751749;27.029843;29.244844;24.242639;0.476319;686.8
1621;27.658857;27.325278;29.056681;23.935519;0.460107;685.28
1622;27.379102;27.799863;28.860084;23.428004;0.449719;683.86
1623;32.315051;28.719635;28.778812;23.20317;0.448226;682.47
1624;33.776426;29.235319;28.844041;22.743342;0.443385;681.16
1625;33.187561;29.381485;29.011299;22.401506;0.432073;679.89
1626;33.070737;29.33336;29.053252;21.903555;0.427702;678.64
1627;33.0163;29.480512;28.923914;21.333554;0.428548;677.18
1628;32.898459;29.667045;29.024432;20.876675;0.433427;675.77
1629;32.182852;29.816243;29.132026;21.120049;0.428968;674.44
1630;31.527163;30.20537;28.884774;21.101319;0.435705;673.14
1631;31.123387;30.609483;28.739087;21.05788;0.439729;671.91
1632;30.890898;30.82099;28.65336;21.025607;0.443187;670.7
1633;30.672854;31.092557;28.616885;20.917647;0.43967;669.69
1634;30.633955;31.11591;28.615975;20.562281;0.438949;668.58
1635;30.723737;31.192385;28.590949;20.129156;0.439548;667.5
1636;30.832918;31.281633;28.520726;19.635935;0.437737;666.5
1637;30.907231;31.408674;28.463767;19.181219;0.435163;665.81
1638;31.006869;31.494298;28.194612;18.754312;0.43245;665.18
1639;31.307472;31.776685;27.918926;18.298858;0.434274;664.58
1640;31.488963;31.730481;28.011642;18.132747;0.433953;664.07
1641;31.527233;31.60201;28.138046;18.06408;0.433988;663.32
1642;31.256894;31.474187;28.579845;18.261778;0.434111;662.98
1643;30.684012;31.137457;29.28902;18.664473;0.432661;669.48
1644;29.932342;30.920863;29.745412;18.948653;0.429285;694.2
1645;29.278986;31.030012;29.898703;19.000319;0.42857;729.32
1646;28.80229;31.05636;30.290142;18.91671;0.428749;769.88
1647;28.269795;31.122802;30.306317;18.709399;0.42862;815.14
1648;28.089868;31.542174;29.840951;18.126287;0.430335;864.94
1649;28.165052;31.907572;29.735489;17.586042;0.432882;917.04
1650;28.189588;31.797317;30.097161;17.326683;0.430818;968.04
1651;27.856075;31.834741;30.031653;17.300704;0.427162;1021.94
1652;27.847371;32.017243;29.936704;17.067859;0.42375;1078.73
1653;27.938418;31.975826;30.194959;16.910077;0.41976;1130.64
1654;27.900734;31.791372;30.436474;16.861921;0.41271;1165.92
1655;27.83613;31.761197;30.422649;16.723073;0.408005;1191.32
1656;27.894382;31.774574;30.508936;16.424994;0.402678;1210.93
1657;27.923661;31.623519;30.702989;16.268484;0.398365;1225.03
1658;27.937833;31.590635;30.565034;16.010867;0.393475;1233.84
1659;28.076821;31.791112;30.265508;15.611313;0.392525;1239.87
1660;28.213405;31.922768;30.152039;15.35371;0.391756;1247.16
1661;28.32078;31.950521;30.16649;15.174234;0.382714;1252.44
1662;28.309088;31.96847;30.176851;15.115307;0.371399;1254.79
1663;28.373876;32.037888;30.075707;14.897429;0.360229;1256.89
1664;28.569355;32.121827;29.87173;14.559625;0.349585;1259.24
1665;28.864344;32.337626;29.540993;14.05829;0.338417;1261.49
1666;29.118578;32.608976;29.11254;13.600725;0.335595;1263.02
1667;29.490831;33.009852;28.550085;12.940745;0.336473;1264.29
1668;29.703006;33.360672;28.284378;12.569827;0.336796;1268.11
1669;29.682361;33.481437;28.336092;12.502368;0.336278;1273.13
1670;29.532298;33.393899;28.659876;12.661002;0.336633;1278.55
1671;29.251106;33.160927;29.100694;12.964028;0.337523;1282.81
1672;28.894781;32.852681;29.643831;13.339548;0.336975;1286.93
1673;28.591863;32.547646;29.926404;13.618159;0.336989;1287.33
1674;28.444813;32.479055;25.176395;13.584767;0.336457;1288.25
1675;28.346969;32.548326;19.160238;13.429108;0.335939;1287.87
1676;28.407867;32.717883;13.073024;13.142995;0.335939;1288.68
1677;28.519451;32.888045;6.838609;12.845641;0.334745;1290.23
1678;28.628225;33.016344;0.943057;12.632454;0.333899;1290.84
1679;24.488928;28.889586;5.051073;11.022603;2.793345;1290.73
1680;24.361424;28.52146;10.825816;10.582459;3.179355;1290.95
1681;24.440779;28.487476;16.427037;10.22642;3.288312;1278.54
1682;24.928844;28.099691;22.524388;9.861873;3.344038;1260.52
1683;26.147292;27.085985;28.777904;9.524489;3.364982;1241.83
1684;31.248183;30.260062;28.512038;10.70353;0.986876;1223.33
1685;31.514535;28.37696;24.416864;10.346473;1.068932;1205.95
1686;29.614076;24.825182;19.9634;9.17009;1.934587;1187.42
1687;25.575002;21.145173;17.465842;7.661599;3.100314;1167.8
1688;20.051528;18.455626;16.562905;6.226136;4.432577;1145.36
1689;14.669438;16.057723;17.026378;5.160727;5.875389;1122.39
1690;10.28341;15.065406;20.413888;4.626585;7.071393;1098.19
1691;8.204816;15.881287;24.817346;5.031912;7.555038;1089.91
1692;7.962396;16.433905;25.987125;5.703401;9.100639;1091.54
1693;9.104649;18.275476;26.823054;6.376607;9.289473;1098.28
1694;11.269338;21.012601;27.782884;7.330419;8.448383;1104.08
1695;13.16274;23.99359;28.80572;8.188085;7.205468;1109.98
1696;14.667836;26.596483;29.101116;8.890805;6.139587;1105.36
1697;15.964272;29.955015;30.524805;9.652413;3.801417;1095.59
1698;16.26134;30.596741;30.861778;10.49796;4.061609;1082.73
1699;15.131473;28.396664;32.76862;10.285664;5.185523;1066.28
1700;14.763029;25.910117;34.737629;10.254383;5.520591;1046.47
1701;14.432994;23.543267;36.788408;10.340445;5.614682;1020.64
1702;13.711887;21.340741;38.544935;10.712088;5.696206;987.32
1703;12.796591;20.485085;40.000394;11.566803;4.336206;948.75
1704;11.836217;20.824479;35.853349;13.191825;3.509682;906.37
1705;9.033725;17.685447;28.201667;11.480435;6.461468;861.46
1706;6.114091;14.27909;25.314451;9.939442;9.479367;826.14
1707;4.13935;14.534901;24.805581;12.433383;9.631219;795.53
1708;2.743276;14.995919;23.567436;14.498155;9.212029;768.28
1709;1.819378;15.695027;25.891606;16.195023;8.220356;743.58
1710;2.027078;19.558942;31.205521;20.668334;4.517653;722.1
1711;2.331629;23.285822;31.141889;24.58052;0.972902;703.38
1712;2.076194;22.780641;27.504405;23.688635;0.372166;702.75
1713;1.783602;21.88552;21.757414;20.723293;0.359051;727.51
1714;1.566537;25.124564;16.066167;16.716168;0.525804;763.56
1715;1.446484;30.474959;10.390859;12.382951;0.732612;805.45
1716;1.693679;36.047263;5.248352;8.34513;0.929757;851.96
1717;2.756565;41.865485;1.173402;4.687165;1.118382;900.28
1718;4.822678;47.851642;0.000075;2.806434;1.288606;946.91
1719;7.743621;49.323771;0.206431;2.584728;1.299272;990.9
1720;10.713954;48.43729;0.837597;2.634283;1.28819;1030.77
1721;13.059351;46.41117;1.915316;2.707159;1.272434;1068.36
1722;14.018282;43.075222;3.28395;2.810427;1.239634;1090.37
1723;13.590969;39.066801;4.612586;2.900229;1.200045;1088.34
1724;12.128339;35.006345;5.742263;2.950381;1.163239;1075.75
1725;10.369333;31.118784;6.497292;2.951958;1.129123;1058.23
1726;8.93211;28.172249;6.854142;2.933901;1.10353;1035.2
1727;7.996532;26.158018;7.126151;2.906396;1.090952;1010.29
1728;7.50733;24.290302;7.64174;2.921604;1.076217;988.25
1729;7.147526;22.508961;8.083667;2.961444;1.066029;970.09
1730;6.75819;20.94148;8.369388;2.982566;1.057431;956.43
1731;6.351476;19.527832;8.521092;2.986762;1.04822;945.35
1732;5.928633;18.308665;8.415131;2.951793;1.039817;934.57
1733;5.452744;17.513194;8.059119;2.866442;1.036658;925.08
1734;5.075233;17.076789;7.693688;2.766328;1.031664;917.2
1735;4.811042;16.774532;7.358424;2.670893;1.029602;910.52
1736;4.627707;16.552337;7.084671;2.581753;1.029498;906.7
1737;4.514616;16.382036;6.85488;2.505227;1.029851;904.81
1738;4.429119;16.240728;6.652195;2.422;1.037013;903.52
1739;4.361419;16.110845;6.432887;2.342473;1.043286;927.57
1740;4.152085;16.971512;5.175972;2.164739;1.057006;971.26
1741;3.857764;21.816268;3.850878;1.80416;1.12215;1017.08
1742;4.991809;27.347346;2.556038;1.475397;1.206956;1060.5
1743;7.667801;32.0103;1.46353;1.19437;1.29196;1101.43
1744;11.311098;35.980433;1.129253;0.960266;1.404656;1141.03
1745;16.143055;38.533117;2.576561;0.894168;1.345317;1181.64
1746;21.503692;36.990318;4.588861;1.069167;1.102739;1223.53
1747;25.7378;34.302398;7.184171;1.286842;0.834779;1265.71
1748;28.424544;32.158328;9.979903;1.505305;0.55708;1308.03
1749;30.476593;30.387249;12.635304;1.726185;0.253256;1332.35
1750;31.505507;28.871574;14.942252;1.91928;0.109762;1320.81
1751;32.296165;26.657476;19.979463;2.168554;0.090417;1301.04
1752;31.616735;23.205323;25.384232;2.536292;0.06772;1279.27
1753;30.095401;19.643435;30.443849;3.014979;0.04707;1256.21
1754;28.456773;16.508415;34.927003;3.773434;0.028048;1231.89
1755;26.606637;13.629219;39.106881;4.738754;0.011122;1205.62
1756;24.063192;11.666234;40.000394;5.489414;0.000067;1177.12
1757;22.267399;11.386104;39.734413;5.946877;0;1147.48
1758;21.157788;11.551999;38.993845;6.276874;0;1116.98
1759;19.646417;11.827093;37.776879;6.299292;0;1078.96
1760;18.126564;12.140934;36.182778;6.080778;0;1056.93
1761;17.03845;12.531892;34.240967;5.949471;0;1040.99
1762;16.32377;12.961946;32.197991;5.933907;0;1029.49
1763;15.587239;13.379277;30.294175;5.868571;0;1021.77
1764;14.950694;13.747053;28.571387;5.750565;0;1015.67
1765;14.459437;14.033408;27.324294;5.649396;0;1009.8
1766;14.05067;14.056844;26.505405;5.604203;0;1004.36
1767;13.580135;13.925194;25.89387;5.546547;0;999.37
1768;13.107577;13.722994;25.437192;5.498086;0;994.73
1769;12.617904;13.478412;25.06082;5.462608;0;990.34
1770;12.04892;13.25717;24.405135;5.406797;0;986.05
1771;11.397504;13.253959;23.497141;5.274422;0;981.75
1772;10.821869;13.353724;22.566283;5.141348;0;977.35
1773;10.334002;13.491955;21.707399;5.016996;0;972.85
1774;9.43;13.642139;20.883637;4.895837;0;969.29
1775;9.594043;13.792196;20.081849;4.767684;0;966.54
1776;9.337418;13.920374;19.308905;4.636046;0;964.34
1777;9.142785;14.033205;18.56496;4.490141;0;961.52
1778;8.980597;14.12911;18.123989;4.35933;0;956.35
1779;8.92834;14.72057;19.601148;5.081518;0;949.96
1780;8.906265;16.276142;22.626563;7.625243;0;943.06
1781;9.333476;18.039229;26.74019;10.996967;0;935.84
1782;10.498714;19.166484;31.100226;13.495703;0;928.22
1783;11.600167;19.890134;35.172501;15.546677;0;920.23
1784;12.504743;19.987572;37.330141;16.656199;0;911.77
1785;13.313636;19.060597;37.957077;15.910143;0;902.83
1786;13.636105;17.914827;37.664687;14.382209;0;893.32
1787;13.223593;17.585873;37.508192;14.09841;0;884.35
1788;12.868864;17.74803;37.541036;14.443844;0;877.6
1789;12.59642;18.005315;37.702922;14.916249;0;871.98
1790;12.384671;18.284448;37.906843;15.442036;0;866.84
1791;12.206416;18.443844;37.674006;15.684711;0;862
1792;11.911579;18.287398;36.715646;15.251904;0;857.49
1793;11.565344;17.962723;35.411534;14.467038;0;853.27
1794;11.204377;17.647451;33.926629;13.585453;0;849.24
1795;10.839761;17.384348;32.556464;12.721467;0;845.36
1796;10.539959;17.377723;31.859268;12.332989;0;841.72
1797;10.421781;17.654712;31.769452;12.502279;0;838.29
1798;10.377275;17.952194;31.926003;12.78253;0;835.05
1799;10.343081;18.2265;32.165702;13.104147;0;832.12
1800;10.284873;18.333723;31.91113;13.158916;0;829.41
1801;10.006834;18.10363;30.708411;12.583065;0;826.87
1802;9.559086;17.692981;29.038074;11.650107;0;824.49
1803;9.06465;17.295672;27.172468;10.664911;0;822.12
1804;8.571213;16.951948;25.373134;9.698166;0;819.86
1805;8.188584;16.822345;24.105878;9.063528;0;817.8
1806;8.011887;16.886759;23.479699;8.807565;0;815.92
1807;7.92185;17.004676;23.116587;8.684091;0;814.21
1808;7.834764;17.123292;22.887977;8.622367;0;812.62
1809;7.740289;17.209704;22.596268;8.554386;0;810.99
1810;7.556725;17.21301;22.110059;8.369939;0;809.32
1811;7.317274;17.198152;21.800746;8.167956;0;807.65
1812;7.024752;17.447439;22.942895;9.092089;0.0119;806.02
1813;6.700001;17.352106;22.610007;8.959612;0.01547;804.54
1814;6.405062;17.186396;22.244936;8.715195;0.01547;803.2
1815;6.120017;17.003315;21.858798;8.455188;0.01547;801.97
1816;5.835296;16.809114;21.19855;8.169316;0.017116;800.82
1817;5.561053;15.92269;17.611961;6.596214;0.709949;799.72
1818;6.020011;15.007802;14.233815;5.260396;0.944044;798.69
1819;6.636191;14.144287;10.919174;3.944046;0.945713;797.7
1820;7.292306;13.328203;7.863937;2.723906;0.945713;796.74
1821;7.994676;12.467389;4.751899;1.525524;1.030858;795.77
1822;8.688659;11.690134;3.069095;0.575221;1.156881;794.82
1823;8.518886;10.620821;2.576039;0.431669;3.040248;793.91
1824;7.590175;9.384601;3.723666;0.507787;5.546322;793.07
1825;6.464962;9.610771;5.283821;1.227407;6.467349;792.28
1826;5.311766;9.60646;6.578655;1.775333;7.714415;791.57
1827;4.238797;9.999859;7.103323;2.389752;8.189494;790.95
1828;3.157479;10.182203;8.816915;2.717281;8.37479;790.43
1829;3.008103;12.197858;9.317921;3.355187;6.087597;790.01
1830;3.079491;12.917535;9.208888;3.318653;5.143779;789.66
1831;3.155165;13.889086;9.416766;3.440576;3.81887;789.4
1832;3.196372;14.864262;10.613595;3.477987;2.486292;789.18
1833;3.452049;16.635818;10.647277;3.795789;0.241243;788.98
1834;3.397433;16.812694;10.317944;3.694543;0.001439;788.66
1835;3.332263;16.80933;10.100091;3.596641;0;788.3
1836;3.316285;16.803023;9.956465;3.512422;0;787.9
1837;3.32408;16.794878;9.823978;3.433417;0;787.51
1838;3.329802;16.786021;9.674848;3.344391;0;787.1
1839;3.33616;16.771919;9.522636;3.251143;0;786.66
1840;3.324366;16.763507;9.337677;3.159206;0;786.22
1841;3.285753;16.75453;9.12403;3.064127;0;785.77
1842;3.237985;16.750823;8.912352;2.977492;0;785.31
1843;3.20224;16.754651;8.722098;2.899199;0;784.87
1844;3.168352;16.762198;8.545492;2.94;0;784.53
1845;3.135213;16.770285;8.382333;2.760593;0;784.23
1846;3.102533;16.781997;8.235538;2.689967;0;783.92
1847;3.076636;16.786327;8.110493;2.618617;0;783.56
1848;3.058853;16.79957;7.996749;2.572254;0;783.17
1849;3.047548;16.808084;7.888952;2.524225;0;782.82
1850;3.040777;16.812687;7.768586;2.476145;0;782.52
1851;3.023203;16.808542;7.63467;2.435759;0;782.3
1852;2.991839;16.798966;7.47438;2.384462;0;782.13
1853;2.945304;16.771945;7.295149;2.322038;0;782
1854;2.892195;16.749265;7.106288;2.261636;0;781.93
1855;2.83936;16.727972;6.925902;2.201603;0;781.93
1856;2.784496;16.713482;6.741406;2.142499;0;782.06
1857;2.733631;16.700989;6.516712;2.088938;0;786.61
1858;2.587078;16.62506;5.71119;1.940325;0;792.17
1859;2.249197;16.46827;4.606513;1.68;0;798.28
1860;1.881331;16.327585;3.433754;1.39924;0;804.71
1861;1.518158;16.213763;2.223146;1.109147;0;811.39
1862;1.176952;16.139087;1.101968;0.83065;0;818.32
1863;0.937113;16.156922;0.558297;0.649865;0;825.53
1864;0.896771;16.275316;0.334142;0.584275;0;832.9
1865;0.899448;16.397613;0.197807;0.539629;0;840.37
1866;0.904992;16.50172;0.111073;0.504812;0;847.91
1867;0.913067;16.5862;0.054785;0.485788;0;851.15
1868;0.923164;16.652216;0.020472;0.448479;0;853.52
1869;0.940254;16.707149;0.00204;0.416765;0;855.43
1870;0.955812;16.747371;0;0.399789;0;857.13
1871;0.979585;16.785723;0;0.385318;0;858.61
1872;1.013289;16.816057;0;0.366524;0;859.94
1873;1.052671;16.852005;0;0.371241;0;861.08
1874;1.090343;16.890128;0;0.369448;0;862.18
1875;1.132103;16.927469;0;0.371814;0;863.2
1876;1.164166;16.953671;0;0.364553;0;864.19
1877;1.197266;16.990802;0;0.365812;0;865.24
1878;1.218229;17.024761;0;0.3622;0;866.32
1879;1.234741;17.047287;0;0.360369;0;867.39
1880;1.244768;17.067551;0;0.3629;0;868.44
1881;1.238321;16.658491;0.016028;0.348493;0.632052;869.53
1882;1.175655;15.967095;0.052844;0.316873;1.540645;870.57
1883;1.195531;15.977122;0.052844;0.303674;1.545282;871.67
1884;1.219571;16.003546;0.052844;0.306128;1.545282;872.75
1885;1.255456;16.023014;0.053535;0.304996;1.545282;873.88
1886;1.317555;16.473796;0.047228;0.327516;0.91323;874.94
1887;1.430519;17.200428;0.032218;0.358551;0.004637;871.81
1888;1.524917;17.260283;0.3306;0.391625;0;867.57
1889;1.872767;17.443878;1.028369;0.497805;0;862.75
1890;2.295662;17.671536;1.884662;0.636844;0;857.51
1891;2.737885;17.892587;2.865515;0.7946;0;851.91
1892;3.157104;18.080175;3.865182;0.967527;0;846.08
1893;3.518376;18.202867;4.640897;1.125334;0;839.94
1894;3.607885;18.166461;5.04524;1.200474;0;833.57
1895;3.585619;18.065412;5.27027;1.249406;0;827.03
1896;3.534907;17.966817;5.391023;1.289945;0;820.37
1897;3.470093;17.869036;5.440529;1.308739;0;817.67
1898;3.396937;17.796949;5.448398;1.324634;0;815.86
1899;3.334272;17.740807;5.445845;1.342284;0;814.43
1900;3.279256;17.704642;5.437889;1.350143;0;813.24
1901;3.228302;17.667142;5.427828;1.347702;0;812.26
1902;3.187254;17.64864;5.416582;1.349431;0;811.5
1903;3.148152;17.619533;5.389537;1.35116;0;810.89
1904;3.095412;17.585059;5.33116;1.350245;0;810.46
1905;3.030019;17.542486;5.246674;1.348821;0;810.07
1906;2.959266;17.505329;5.140296;1.355636;0;809.76
1907;2.88365;17.465197;5.026359;1.353704;0;809.56
1908;2.812039;17.434831;4.917362;1.354212;0;809.47
1909;2.751345;17.416933;4.93;1.342017;0;809.48
1910;2.696983;17.394387;4.730439;1.327953;0;809.53
1911;2.645534;17.371568;4.647866;1.30247;0;809.59
1912;2.598986;17.36479;4.575368;1.287656;0;809.58
1913;2.56113;17.35643;4.514875;1.270273;0;809.5
1914;2.531743;17.35669;3.702748;1.263254;0;809.27
1915;2.509668;17.365916;2.788716;1.253081;0;809.08
1916;2.500748;17.384144;1.891149;1.255179;0;808.89
1917;2.498866;17.39021;1.002895;1.254263;0;808.72
1918;2.496144;17.397935;0.117673;1.251402;0;808.53
1919;2.167024;15.340141;0.931225;1.13415;2.238044;808.42
1920;2.130122;15.260366;1.745837;1.17652;2.288685;808.38
1921;2.078392;15.282632;2.529181;1.219641;2.288685;808.41
1922;2.019555;15.305502;3.263433;1.261947;2.288685;808.51
1923;1.948599;15.327234;3.983804;1.289541;2.288685;808.71
1924;2.194301;17.403683;3.755904;1.423668;0.052279;808.94
1925;2.144988;17.504045;3.636922;1.397091;0.006622;809.13
1926;2.110521;17.503485;3.559598;1.371672;0.017958;809.33
1927;2.085953;17.501375;3.499618;1.34732;0.033713;809.51
1928;2.071896;17.50573;3.457716;1.33997;0.055434;809.75
1929;2.056751;17.514485;3.420397;1.340581;0.079154;809.93
1930;2.038567;17.516132;3.37264;1.341801;0.102496;810.01
1931;2.013611;17.522318;3.31767;1.333269;0.12414;810.07
1932;1.986017;17.550618;3.27178;1.331132;0.153084;809.6
1933;1.963675;17.61294;3.208759;1.328996;0.328395;808.85
1934;1.996603;17.801851;3.158449;1.332048;0.688105;807.92
1935;2.072881;18.138314;3.119024;1.351656;1.203651;806.88
1936;2.176899;18.611106;3.065224;1.389461;1.880659;805.66
1937;2.287829;19.162389;2.971756;1.411041;2.673514;804.2
1938;2.428113;19.956029;2.830845;1.414398;3.33;802.44
1939;2.564697;20.913282;2.619635;1.429479;4.389063;800.48
1940;2.72527;22.118009;2.343293;1.450079;4.999491;798.43
1941;2.930687;23.615882;1.995674;1.466051;5.330467;796.19
1942;3.155178;25.293784;1.592084;1.480089;5.317406;794.3
1943;3.395055;27.148466;1.147752;1.502533;5.037424;792.58
