Èas (s);CO (%);CO2 (%);H2 (%);CH4 (%);O2 (%);Teplota (°C)
102;2.454931;7.578133;4.50837;39.172933;11.999452;533.39
103;2.347861;7.842197;4.709264;39.822181;12.001995;538.63
104;2.323198;7.830847;4.799859;40.617182;12.160768;545.12
105;2.312561;7.860114;5.123124;41.253116;12.369787;573.62
106;2.926363;7.844396;6.498218;39.842158;12.145694;608.04
107;4.156829;7.622481;8.057253;34.408511;11.443677;641.79
108;5.526701;7.408525;9.816186;28.234224;10.543606;671.81
109;6.977715;7.206059;11.71993;22.121789;9.566299;702.23
110;8.43756;6.923468;13.44959;16.117963;8.605047;731.49
111;9.283228;6.691621;14.022264;11.929659;8.046577;762.51
112;9.493032;6.729521;14.352269;11.150655;7.844573;788.44
113;9.519545;6.940654;14.255397;11.093839;7.745969;814.32
114;9.349441;7.189413;13.236798;10.984149;7.752386;845.01
115;8.307315;8.164316;11.184936;9.497696;8.139833;859.59
116;7.108513;9.454356;9.282143;7.943261;8.622498;865.63
117;5.937057;10.686093;7.432824;6.575818;9.170302;869.95
118;4.823511;11.813557;5.861581;5.115216;9.704038;877.52
119;3.864306;12.993583;5.067946;3.668233;10.065037;884.1
120;3.740553;13.506826;5.274619;3.535667;9.997116;891.07
121;3.777595;13.684909;5.413434;3.474541;9.878599;895.67
122;3.776075;13.839449;5.509247;3.377135;9.907367;904.85
123;3.750465;13.948185;5.534578;3.262753;10.089552;914.3
124;3.691367;14.021137;5.582574;3.11812;10.342261;918.06
125;3.694368;14.146251;5.665285;3.043361;10.44251;917.54
126;3.742594;14.323133;5.762482;2.995345;10.382053;917.86
127;3.770792;14.452965;5.778997;2.986775;10.250023;917.09
128;3.668611;14.490604;5.667858;2.937589;10.276802;912.42
129;3.514657;14.44702;5.518179;2.849593;10.444681;908.76
130;3.344623;14.41509;5.435463;2.723792;10.776891;907.68
131;3.382186;14.641297;5.607365;2.665794;11.051034;906.08
