Tavba Ë.;Sur. Fe - Akosù;02 - Skut. mnoû. (Nm3);02 - Trv. f˙k. (s);Sur. Fe - Teplota (∞C);Sur. Fe - Hmotnosù (kg);C - Konc. v Fe (%);Si - Konc. v sur. Fe (%);Mn - Konc. v sur. Fe (%);P - Konc. v sur. Fe (%);S - Konc. v sur. Fe (%);Ti - Konc. v sur. Fe (%);ärot v·ha (kg);V˝öka k˙peæa (m);CaO - V·ha (kg);Dol. v·p. - V·ha (kg);MgCO3 - V·ha (kg);Bazicita tav.;Pomer CaO / SiO2;Fe - Mn. v troske (% hm.);MgO - Mn. v troske (% hm.);Cr - Mn. v oceli (%);Fe - V·ha v sur. Fe (kg);02 - Dofuk mn. (Nm3)
856;694;8222.993;991;1361.203;159401;4.423;0.373;0.298;0.045;0.005;0.012;32300;9.47;4522;4056;882;3.2;2.786;13.66;9.92;0.025;160400;0
857;673;8207.047;1051;1386.833;142400;4.568;0.965;0.343;0.05;0.004;0.032;47600;9.46;6773;4524;1579;3.5;3.146;14.93;9.66;0.02;144600;0
858;704;7954.748;970;1307.926;154100;4.296;0.411;0.33;0.05;0.002;0.012;35300;9.47;5515;3024;0;3.4;2.968;16.19;9.01;0.023;156800;0
859;704;7817.676;930;1346.281;150901;4.322;0.479;0.326;0.051;0.004;0.014;38200;9.46;5523;3107;0;3.5;3.113;15.45;9.23;0.027;151900;0
860;704;8024.73;963;1386.643;145600;4.481;0.694;0.343;0.051;0.004;0.022;45600;9.48;5519;3276;0;2.9;2.606;17.89;7.49;0.024;147000;0
861;704;8108.245;972;1346.186;145600;4.454;0.616;0.339;0.049;0.003;0.019;45900;9.48;5513;3127;0;3.2;2.828;14.94;9.65;0.027;146000;0
862;704;8107.668;965;1298.97;151201;4.065;0.388;0.335;0.049;0.004;0.01;40000;9.48;5515;2833;0;3.3;2.906;15.22;9.34;0.024;152200;0
863;704;5980.367;727;1395.573;100000;2.754848;0.579394;0.397576;0.033848;0.003576;0.019182;25200;9.48;5524;3113;0;3.3;2.913;14.95;9.58;0.022;144000;0
864;704;8458.376;1016;1333.475;146100;4.578;0.689;0.343;0.049;0.004;0.021;44000;9.47;5566;3244;0;3.5;3.113;17.24;9.05;0.024;148000;0
865;591;8451.565;1008;1368.382;147101;4.371;0.816;0.353;0.05;0.004;0.024;44100;9.45;6184;4076;0;0;0;0;0;0.027;148100;0
866;591;8695.63;1028;1387.816;150700;4.512;0.635;0.305;0.047;0.011;0.019;40400;9.45;4751;3375;0;3.3;2.83;19.34;9.62;0.019;152200;0
867;959;8174.582;980;1380.643;151301;4.244;0.446;0.451;0.0654;0.007;0.022;37000;9.45;4525;3168;0;3.6;3.086;15.37;10.28;0.026;152300;302.481
868;683;8243.754;998;1291.722;147300;4.194;0.729;0.338;0.054;0.003;0.022;45600;9.48;6341;3631;0;3.7;3.196;16.48;10.17;0.02;147800;0
869;625;8101.036;957;1320.394;153401;4.183;0.361;0.265;0.045;0.003;0.009;35100;9.46;5523;2929;0;4.1;3.632;17.8;9.71;0.018;154400;0
870;625;8223.675;970;1289.851;155400;4.169;0.359;0.266;0.045;0.003;0.009;34800;9.48;5522;2914;0;4.3;3.774;17.19;10.71;0.023;156400;458.569
871;625;8352.684;997;1313.419;150301;4.441;0.569;0.319;0.046;0.002;0.018;39800;9.47;5517;3115;0;3.4;3.082;16.46;8.87;0.028;151300;0
872;625;8445.841;998;1330.923;149500;4.232;0.632;0.3;0.044;0.003;0.018;42300;9.48;5517;3176;0;3.4;2.892;15.72;10.46;0.018;150800;0
