Tavba Ë.;Sur. Fe - Akosù;02 - Skut. mnoû. (Nm3);02 - Trv. f˙k. (s);Sur. Fe - Teplota (∞C);Sur. Fe - Hmotnosù (kg);C - Konc. v Fe (%);Si - Konc. v sur. Fe (%);Mn - Konc. v sur. Fe (%);P - Konc. v sur. Fe (%);S - Konc. v sur. Fe (%);Ti - Konc. v sur. Fe (%);ärot v·ha (kg);V˝öka k˙peæa (m);CaO - V·ha (kg);Dol. v·p. - V·ha (kg);MgCO3 - V·ha (kg);Bazicita tav.;Pomer CaO / SiO2;Fe - Mn. v troske (% hm.);MgO - Mn. v troske (% hm.);Cr - Mn. v oceli (%);Fe - V·ha v sur. Fe (kg);02 - Dofuk mn. (Nm3)
88;592;8212.352;969;1284.028;144000;4.185;0.557;0.264;0.052;0.098;0.013;46900;9.59;4517;3084;0;3.5;2.989;15.52;9.89;0.018;146600;617.219
89;591;8507.861;1034;1294.074;151701;4.53;0.8;0.36;0.054;0.012;0.013;35400;9.55;5974;3915;0;3.5;2.927;17.07;9.98;0.025;152700;362.483
90;591;8158.688;992;1237.873;145001;4.45;0.808;0.364;0.055;0.014;0.029;35300;9.48;5450;3729;0;3.4;2.887;18.12;9.3;0.016;150000;0
91;591;8336.157;1009;1321.383;156000;4.618;0.555;0.368;0.052;0.013;0.02;35800;9.55;4525;3301;799;3.6;3.026;17.01;10.05;0.027;157000;0
92;591;8143.692;1047;1312.755;156301;4.605;0.56;0.369;0.053;0.013;0.02;35400;9.55;4532;3297;1307;3.6;3.053;16.84;10.58;0.022;157300;0
93;591;8507.809;1063;1325.491;150300;4.547;0.523;0.348;0.053;0.014;0.021;40400;9.54;5227;3203;0;3.8;3.23;18.9;9.51;0.025;152100;0
94;591;8440.57;1013;1309.48;150500;4.58;0.521;0.347;0.053;0.014;0.021;40200;9.54;5226;3161;0;3.9;3.329;16.69;10.11;0.023;152500;0
95;591;8560.132;1034;1308.864;150700;4.563;0.425;0.406;0.057;0.014;0.016;40100;9.55;5153;2976;0;3.5;2.986;18.04;9.41;0.016;152500;0
96;683;8558.34;1034;1342.878;151800;4.569;0.384;0.363;0.054;0.003;0.014;39700;9.56;6349;3045;0;3.6;3.014;16.05;10.44;0.017;152100;0
97;683;8222.497;1022;1332.704;150100;4.54;0.748;0.522;0.066;0.002;0.028;40500;9.55;6127;3582;511;3.7;3.2;15.67;9.7;0.027;152200;0
98;683;8104.697;997;1341.987;145900;4.381;0.792;0.55;0.066;0.003;0.031;42200;9.53;6154;3813;542;3.6;3.084;15.96;10.3;0.023;147200;0
99;683;8394.66;1003;1316.897;140600;4.416;1.335;0.321;0.052;0.003;0.034;48600;9.54;10580;5633;710;3.4;2.88;15.68;9.44;0.02;143200;0
100;683;8271.787;1014;1317.756;142000;4.319;0.811;0.45;0.067;0.002;0.028;48300;9.55;7158;4082;1003;3.3;2.84;15.96;9.61;0.023;143000;0
101;683;8133.294;974;1338.218;142400;4.321;0.8;0.526;0.069;0.002;0.029;45000;9.53;6761;3874;533;3.6;2.985;17.01;10.56;0.023;144400;0
102;683;8194.595;1028;1323.813;142400;4.534;0.822;0.569;0.069;0.003;0.031;45700;9.54;6341;3870;0;3.5;2.935;16.59;10.4;0.025;144800;0
103;591;8301.372;1002;1280.566;144700;4.288;0.688;0.426;0.061;0.013;0.024;45400;9.53;4856;3404;0;3.6;3.03;16.76;10.51;0.023;147300;0
104;591;8150.891;1062;1327.05;143300;4.572;0.803;0.464;0.06;0.011;0.027;47300;9.58;6108;3375;0;3.6;2.994;16.7;10.45;0.028;145300;0
105;594;8084.192;1009;1316.101;143300;4.496;0.892;0.59;0.066;0.002;0.033;44700;9.59;7207;3634;0;3.7;3.006;16.45;10.95;0.02;147300;0
106;594;8142.006;987;1272.9;139100;4.299;1.033;0.521;0.063;0.002;0.035;49900;9.59;8017;3657;0;3.5;2.957;16.76;9.66;0.017;143300;368.943
107;594;8002.162;978;1333.764;141100;4.448;0.8;0.482;0.062;0.002;0.027;48400;9.6;6838;3221;0;3.5;2.95;16.65;10.17;0.02;142300;0
108;594;8173.586;968;1236.087;141301;4.054;1.532;0.31;0.051;0.002;0.037;47700;9.64;11854;5131;0;3.6;3.093;16.27;10.07;0.017;145300;0
109;594;7927.377;960;1305.298;141400;4.276;0.717;0.445;0.06;0.002;0.022;49400;9.65;6132;2865;0;3.2;2.797;16.02;9.01;0.021;144300;0
110;594;8189.996;1014;1337.187;143900;4.608;0.934;0.501;0.064;0.002;0.032;44700;9.64;8397;3581;453;3.2;2.792;16.15;8.63;0.021;147700;0
111;594;7935.325;960;1293.75;149300;4.19;0.824;0.459;0.058;0.002;0.024;40800;9.65;6924;3288;1926;2.9;2.694;10.86;6.41;0.028;152800;531.751
112;594;8314.016;1001;1312.912;148200;4.548;0.395;0.421;0.06;0.002;0.013;39900;9.64;5522;2442;0;2.9;2.621;15.19;7.79;0.027;152400;0
113;594;8207.14;1033;1320.469;149400;4.438;0.562;0.393;0.061;0.002;0.016;40700;9.65;6239;2660;930;2.9;2.712;12.38;6.62;0.018;154000;0
114;594;8348.134;1003;1333.894;143000;4.481;0.796;0.395;0.059;0.002;0.021;48000;9.65;6743;3209;550;3.1;2.899;11.16;6.75;0.017;145000;0
115;694;8516.414;1075;1287.1;154401;4.355;0.465;0.472;0.064;0.008;0.014;33000;9.62;5451;2580;0;3.2;2.855;14.69;8.22;0.02;159400;0
116;694;8331.987;1063;1335.957;145900;4.334;0.786;0.424;0.059;0.003;0.022;47100;9.66;6679;3407;485;3.3;3.039;14.73;7.75;0.024;148000;0
117;698;8443.872;1036;1273.406;145400;4.2;0.852;0.458;0.061;0.009;0.025;44900;9.63;7228;3614;0;3.7;3.268;13.9;9.67;0.035;147700;0
118;694;8601.637;1062;1291.188;144600;4.303;0.601;0.567;0.071;0.008;0.021;45000;9.63;5584;2853;723;3.1;2.796;14.32;8.11;0.029;147300;0
119;454;8571.835;1055;1327.806;146300;4.379;0.857;0.587;0.068;0.003;0.029;44700;9.65;8325;3656;0;3.4;3.018;14.38;8.8;0.015;147200;0
120;454;8403.441;1054;1319.229;145600;4.277;0.932;0.457;0.061;0.004;0.027;41900;9.63;8902;4016;0;3.2;2.896;14.78;7.64;0.015;147400;0
121;673;8608.936;1039;1333.089;148700;4.52;0.478;0.461;0.061;0.006;0.017;42500;9.65;6955;2605;872;3.1;2.862;14.22;7.82;0.02;150700;0
122;673;8597.387;1049;1328.211;143800;4.542;0.876;0.357;0.053;0.005;0.024;47000;9.65;7846;3421;0;2.9;2.656;13.25;6.88;0.02;145400;0
123;673;8306.655;994;1247.844;147600;4.238;0.706;0.37;0.055;0.006;0.017;42200;9.64;6822;2918;0;3.4;2.987;15.53;9.95;0.016;150400;0
124;606;8507.789;1047;1306.24;150400;4.43;0.468;0.535;0.063;0.003;0.018;40400;9.64;5585;2744;0;3.4;3.12;13.95;7.93;0.04;152100;0
125;195;8153.896;1032;1310.221;143200;4.519;1.011;0.357;0.054;0.004;0.029;47800;9.64;7447;4017;0;3.2;2.922;14.21;8.28;0.021;144100;0
126;693;8196.15;1016;1309.595;141500;4.424;1.022;0.361;0.054;0.004;0.029;47800;9.64;7028;4080;0;3.1;2.755;18.63;7.45;0.021;143800;0
127;693;8254.459;1067;1313.671;141100;4.567;0.762;0.363;0.058;0.002;0.02;48000;9.63;5406;3414;0;3.7;3.278;16.78;9.16;0.02;144300;0
128;195;8343.921;1081;1306.96;149900;4.63;0.532;0.507;0.071;0.003;0.018;40600;9.65;4517;2885;0;3.4;3.059;18.22;7.92;0.022;152600;301.754
129;475;8375.413;1065;1247.283;151900;4.194;0.575;0.55;0.068;0.022;0.02;38100;9.73;5046;2638;0;3.1;2.729;20.7;7.54;0.018;154300;280.995
130;475;8462.924;1042;1297.974;139200;4.254;0.946;0.384;0.057;0.024;0.027;50600;9.68;7554;3556;0;3.1;2.796;21.83;6.97;0.012;141500;917.516
131;475;8504.82;1056;1298.732;141500;4.471;0.808;0.328;0.053;0.025;0.022;48400;9.68;6539;3227;0;3.2;2.823;19.37;7.64;0.02;144400;756.479
132;596;8205.697;984;1278.726;151600;4.311;0.572;0.551;0.065;0.002;0.02;38600;9.72;5524;2203;0;3.3;2.963;20.93;7.58;0.028;154300;774.905
133;896;8115.572;979;1348.686;142700;4.3;0.9;0.4;0.06;0.002;0.02;47900;9.68;8071;3100;0;3.5;3.066;20.58;8.54;0.031;144300;1233.101
134;896;8359.666;1009;1333.194;142300;4.432;0.996;0.388;0.055;0.002;0.029;47900;9.68;8591;3242;0;3.4;3.074;20.88;7.74;0.021;145800;0
135;896;8549.988;1090;1283.812;144400;4.215;1.04;0.349;0.052;0.002;0.029;47400;9.69;8940;3595;0;3.2;2.846;19.78;7.7;0.017;146800;0
136;896;8592.281;1066;1310.528;144400;4.294;0.992;0.622;0.07;0.016;0.035;48400;9.7;9493;3521;0;3.3;3.046;20.06;7.48;0.021;145000;0
137;896;8342.165;1001;1262.128;148900;4.26;0.718;0.594;0.071;0.002;0.026;40500;9.6;6422;2545;0;2.9;2.583;17.77;7.46;0.023;152000;0
138;896;8526.047;1035;1226.41;149700;4.13;0.672;0.576;0.073;0.003;0.023;42100;9.61;6155;2454;0;3.3;3.072;19.84;7.04;0.019;153500;0
139;595;8390.118;1008;1332.132;145200;4.49;1.047;0.451;0.059;0.002;0.034;47600;9.62;8930;3243;0;3.1;2.83;18.09;7.35;0.027;145500;0
140;595;8553.594;1036;1304.012;145800;4.324;0.892;0.528;0.063;0.002;0.03;47900;9.62;10730;2968;0;3.2;2.848;20.07;7.79;0.021;145500;0
141;595;8405.588;1022;1301.208;143400;4.143;0.922;0.41;0.056;0.002;0.027;45700;9.59;8936;3567;423;3.3;2.998;19.56;6.88;0.019;147800;0
142;595;8563.058;1030;1279.12;145800;4.405;1.117;0.439;0.057;0.002;0.031;45400;9.62;10804;3599;0;3.1;2.81;20.32;7.55;0.019;147700;0
143;595;8702.671;1048;1322.938;152001;4.587;0.816;0.467;0.056;0.002;0.025;40500;9.62;7958;2764;1404;3.4;3.113;19.22;7.84;0.024;153000;0
144;595;8560.346;1035;1305.663;143200;4.159;1.159;0.303;0.046;0.002;0.034;45200;9.59;11033;3477;796;3.3;3.085;20.5;6.76;0.017;147200;0
145;595;8556.201;1056;1282.251;145000;4.166;0.995;0.578;0.068;0.002;0.033;44900;9.6;9338;3397;736;3.3;2.982;19.98;6.96;0.019;147100;0
146;704;8370.652;1051;1308.914;147600;4.475;0.681;0.444;0.059;0.004;0.023;43600;9.6;7828;2363;352;3.3;2.975;19.35;7.73;0.022;149100;0
147;704;8250.354;996;1273.425;146700;4.02;1.038;0.369;0.051;0.003;0.03;45900;9.61;9218;3337;0;3.1;2.836;18.06;7.75;0.024;147600;506.818
148;704;8297.032;987;1315.578;145900;4.546;0.632;0.38;0.054;0.004;0.02;45100;9.6;5843;2283;0;3.3;3.035;17.44;7.24;0.017;147400;0
149;704;8231.434;993;1321.104;144900;4.654;1.019;0.215;0.047;0.003;0.03;45900;9.55;8803;3200;0;3.3;2.995;16.53;7.41;0.018;145100;553.468
150;698;8928.646;1118;1292.651;144500;4.191;1.247;0.281;0.048;0.013;0.037;46800;9.53;10723;4041;0;3.2;3.001;16.8;5.88;0.026;146000;0
151;195;8107.904;977;1277.622;147900;4.367;0.646;0.457;0.059;0.003;0.021;42900;9.55;5605;2447;1440;3.5;3.248;16.14;6.79;0.02;149900;0
152;697;8090.199;971;1315.254;154500;4.494;0.353;0.365;0.051;0.003;0.012;36000;9.55;4525;2158;1351;3.2;2.963;16.28;6.33;0.022;156300;0
153;697;8147.536;979;1325.654;148300;4.435;0.664;0.251;0.045;0.002;0.022;41800;9.5;4524;2728;0;3.2;2.908;16.46;7.51;0.022;149100;0
154;195;8152.558;989;1312.272;150500;4.494;0.543;0.279;0.045;0.002;0.019;39800;9.5;4521;2581;0;3.3;3.037;19.13;6.62;0.019;151400;0
155;195;8263.996;1053;1297.229;148400;4.448;0.729;0.396;0.051;0.024;0.026;42100;9.5;5997;3213;570;3;2.667;15.16;8.12;0.019;149300;0
156;697;8076.187;992;1295.094;148700;4.327;0.814;0.366;0.051;0.002;0.028;44400;9.52;5911;3506;0;3.2;2.867;15.54;7.57;0.019;149100;331.525
157;697;8220.702;998;1343.11;144000;4.304;0.715;0.461;0.056;0.018;0.027;46100;9.5;5658;3340;0;3.1;2.831;15.09;7.83;0.021;145400;0
158;195;8306.594;990;1298.583;153800;4.419;0.328;0.399;0.058;0.002;0.012;35800;9.5;4515;2591;0;3.8;3.372;16.04;9.53;0.022;155500;0
159;195;8405.397;1021;1272.2;151100;4.311;0.467;0.481;0.065;0.002;0.018;37900;9.49;4514;2708;0;3.4;3.002;15.49;8.91;0.022;152400;0
160;195;8204.806;1026;1331.867;145200;4.41;0.697;0.391;0.054;0.002;0.026;45100;9.5;5010;3069;0;3;2.666;15.13;8.27;0.022;146700;0
161;647;8508.692;1018;1328.521;145500;4.53;0.691;0.425;0.055;0.002;0.026;43900;9.49;5120;2968;0;3.3;2.93;16.02;8.32;0.025;147200;0
162;647;8316.597;998;1314.069;152500;4.346;0.376;0.357;0.05;0.002;0.012;36600;9.49;4525;2403;0;3.3;2.935;16.06;8.21;0.026;154100;0
163;647;8489.395;1024;1320.316;148900;4.559;0.517;0.38;0.05;0.002;0.019;41200;9.5;4520;2663;0;3.4;3.029;15.36;8.32;0.032;149100;0
164;645;8484.424;1037;1267.987;147800;4.397;0.619;0.476;0.06;0.002;0.022;42200;9.5;4600;2708;0;3.4;3.042;15.44;8.56;0.029;150700;0
165;669;8562.328;1018;1301.809;154400;4.435;0.393;0.392;0.057;0.002;0.014;36100;9.5;4529;2537;0;3.3;2.954;15.85;8.85;0.02;156200;659.137
166;669;8734.549;1023;1294.042;152100;4.543;0.385;0.506;0.065;0.003;0.016;41900;9.52;4531;2635;0;3;2.753;16.22;7.52;0.019;152400;0
167;580;8377.602;1003;1287.579;154800;4.498;0.369;0.51;0.065;0.003;0.015;40100;9.53;4521;2585;0;3.2;2.864;16.81;7.7;0.024;155800;0
168;580;8281.042;1022;1315.249;153600;4.503;0.334;0.44;0.059;0.003;0.012;38000;9.51;4528;2556;0;3.5;3.109;16.34;10.08;0.019;153800;0
169;580;8357.377;996;1308.73;148500;4.491;0.562;0.47;0.062;0.002;0.021;42400;9.5;4531;2786;604;3.5;3.088;16.05;9.7;0.022;150700;0
170;240;8416.973;1088;1252.07;154300;4.138;0.649;0.576;0.076;0.002;0.026;38600;9.52;4706;3222;0;3;2.65;15.78;8.65;0.023;157000;0
171;590;8292.146;997;1312.673;147800;4.654;0.544;0.428;0.06;0.002;0.018;42000;9.5;5520;3094;0;3.5;3.222;16.61;7.46;0.018;149800;0
172;562;8505.667;1012;1257.881;160000;4.32;0.288;0.46;0.052;0.005;0.001;28200;9.49;4527;2358;0;3.1;2.867;15.71;7.38;0.027;152000;0
173;562;8451.499;1013;1325.2;147100;4.563;0.934;0.451;0.059;0.008;0.032;43100;9.49;6929;3741;0;3.4;3.137;16.67;8.04;0.03;148700;0
174;562;8609.062;1044;1322.689;144500;4.448;1.008;0.625;0.069;0.005;0.039;45300;9.48;7558;4156;0;3.5;3.226;16.39;8.01;0.045;146500;0
175;413;8207.646;991;1334.532;147300;4.654;0.643;0.453;0.058;0.004;0.024;42300;9.49;4661;2827;0;3.4;3.143;16.54;8.28;0.022;149800;0
176;413;8237.766;995;1278.124;146200;4.159;0.82;0.656;0.075;0.003;0.032;42900;9.49;6150;3484;0;3.3;2.883;15.65;9.15;0.031;149200;0
177;413;8452.607;1061;1365.323;150200;4.615;0.555;0.596;0.069;0.002;0.026;40000;9.5;4530;2844;0;3.4;3.083;15.94;8.54;0.03;152600;408.308
178;689;8251.468;1002;1310.801;143800;4.354;0.78;0.469;0.056;0.008;0.027;44800;9.48;5617;3059;0;2.8;2.475;10.19;8.94;0.023;146400;0
179;689;8268.361;1010;1334.034;143800;4.534;0.849;0.437;0.056;0.009;0.031;47400;9.49;6230;3366;0;2.8;2.561;10.45;8.72;0.027;145400;0
180;689;8356.519;981;1215.795;157900;4.172;0.331;0.446;0.058;0.007;0.011;30700;9.49;4532;2437;0;2.9;2.606;10.16;8.63;0.025;162800;0
181;689;8323.077;1010;1281.347;148000;4.26;0.684;0.618;0.068;0.008;0.028;43000;9.52;4755;3820;0;2.8;2.478;9.78;8.97;0.026;149500;0
182;413;8076.224;1017;1322.684;149900;4.442;0.579;0.634;0.069;0.002;0.026;40600;9.53;4529;3726;0;3.2;2.949;16.69;7.76;0.035;152400;0
183;622;8185.447;1029;1301.889;147900;4.349;0.676;0.618;0.067;0.002;0.028;42400;9.53;4944;3681;0;2.9;2.604;11.96;9.67;0.027;150000;0
184;590;8255.455;984;1374.555;143300;4.377;0.736;0.512;0.059;0.002;0.028;46600;9.53;5812;3870;0;3.4;3.134;8.89;8.73;0.032;146300;612.674
185;590;8516.62;1062;1344.072;144000;4.428;0.801;0.659;0.069;0.003;0.035;47300;9.54;6525;4326;711;2.8;2.451;11.5;9.98;0.033;145400;496.299
186;590;8713.408;1042;1286.676;146400;4.325;0.667;0.53;0.062;0.004;0.026;45800;9.54;5528;3676;0;2.9;2.541;10.78;9.31;0.022;148600;0
187;590;8608.54;1029;1337.015;148900;4.452;0.674;0.518;0.06;0.003;0.03;45400;9.56;5529;4469;0;0;0;0;0;0.035;149500;0
188;580;8523.555;1010;1325.182;148600;4.423;0.612;0.501;0.061;0.003;0.026;43100;9.54;0;3643;0;0;0;0;0;0.028;150700;0
189;580;8586.615;1071;1296.203;152200;4.322;0.515;0.564;0.064;0.003;0.021;39900;9.54;5593;3614;0;3;2.716;9.92;8.74;0.019;154600;0
190;625;8626.54;1113;1320.744;156000;4.368;0.693;0.517;0.061;0.002;0.03;33500;9.53;909;3832;0;4.3;3.656;17.11;12.5;0.018;157300;0
191;625;8511.173;1000;1351.244;154300;4.586;0.369;0.412;0.055;0.003;0.017;35100;9.53;5525;3386;0;3.7;3.358;18.38;8.84;0.023;157300;0
192;916;8285.645;974;1307.555;149300;4.558;0.5;0.453;0.058;0.003;0.023;40300;9.52;4527;3106;0;3.6;3.182;18.34;9.15;0.022;150100;0
193;916;8422.97;993;1260.594;148100;4.453;0.542;0.553;0.073;0.003;0.021;39300;9.51;4527;3214;0;3.5;3.184;16.86;9.1;0.021;150000;0
194;916;8102.495;953;1336.699;154000;4.48;0.545;0.401;0.058;0.003;0.021;35400;9.52;4529;3218;0;3.3;3.022;12.36;8.34;0.027;155200;0
195;624;8156.837;974;1324.517;149400;4.329;0.811;0.53;0.063;0.002;0.031;39000;9.52;6584;3975;0;3.3;3.01;12.09;8.63;0.036;150500;410.315
196;624;8102.423;963;1310.17;143600;4.297;0.731;0.501;0.062;0.003;0.029;42000;9.53;5876;3433;554;4.2;3.583;17.43;11.47;0.025;147200;0
197;684;8508.155;1015;1314.16;147800;4.337;0.502;0.417;0.054;0.002;0.021;40100;9.55;5521;2991;0;3.6;3.24;18.15;8.75;0.02;150300;406.529
198;592;8143.87;964;1299.059;153600;4.163;0.442;0.368;0.051;0.013;0.017;40800;9.57;4529;3055;0;3.5;3.156;16.3;9.53;0.022;151700;558.1
199;592;8704.937;1027;1306.131;156000;4.332;0.475;0.39;0.053;0.012;0.021;36000;9.56;4525;3141;0;3.7;3.328;17.88;9.13;0.032;156300;0
200;592;8309.963;1028;1314.07;144601;4.259;0.709;0.439;0.058;0.013;0.027;45000;9.54;5176;3661;0;3.7;3.405;18.92;8.54;0.023;145600;0
201;684;8391.598;992;1288.991;151601;4.372;0.416;0.373;0.057;0.002;0.016;38700;9.56;5527;3001;0;3.7;3.332;18.08;8.42;0.025;152600;0
202;582;8345.777;1031;1307.682;154700;4.366;0.395;0.358;0.054;0.013;0.015;36000;9.56;4522;3044;0;3.3;2.906;16.42;9.07;0.031;156400;0
203;808;8288.728;998;1318.393;151800;4.387;0.484;0.459;0.06;0.004;0.019;38600;9.56;5522;3181;0;3.4;3.068;16.84;8.83;0.028;153700;0
204;808;8288.077;987;1254.17;148900;4.074;0.762;0.498;0.06;0.002;0.03;43600;9.58;6316;3604;0;3.5;3.181;18.47;8.68;0.021;149600;0
205;24;8514.507;1019;1324.003;152100;4.459;0.552;0.437;0.058;0.002;0.02;38000;9.56;6527;2518;0;3.2;3.104;17.41;5.2;0.018;154400;0
206;24;8350.274;999;1307.69;146900;4.417;0.681;0.397;0.055;0.002;0.026;42100;9.55;6024;2512;0;3.2;3.057;16.95;6.45;0.023;148300;0
207;24;8656.91;1043;1257.835;145700;4.136;0.781;0.366;0.056;0.002;0.022;43500;9.55;5569;3909;0;3.1;2.981;17.3;5.39;0.019;147500;0
208;24;8370.431;1051;1297.377;151100;4.365;0.624;0.479;0.06;0.002;0.023;40600;9.57;4531;3544;0;3.3;3.093;17.03;6.07;0.045;152400;0
209;24;8390.942;1054;1346.657;149900;4.59;0.491;0.337;0.054;0.004;0.018;40700;9.56;4527;3312;0;3.2;3.105;17.15;5.73;0.026;152200;0
210;24;8401.889;1051;1330.371;150300;4.578;0.398;0.387;0.056;0.003;0.014;39800;9.56;4523;3234;0;3.3;3.1;16.86;6.39;0.024;152400;0
211;24;8119.163;969;1306.067;148700;4.2;0.535;0.429;0.059;0.004;0.017;42000;9.56;4529;3247;0;3.3;3.064;17.86;7.32;0.021;150400;0
212;693;8335.202;1082;1326.313;147600;4.287;0.614;0.407;0.059;0.003;0.018;42300;9.56;6102;3554;0;0;0;0;0;0.017;150000;0
213;693;8506.179;1055;1274.432;146100;4.102;0.603;0.49;0.061;0.004;0.02;45400;9.56;5575;3618;0;0;0;0;0;0.016;147100;0
214;693;8503.024;1080;1275.277;148200;4.07;0.556;0.456;0.061;0.004;0.02;41900;9.56;5578;3530;0;0;0;0;0;0.016;149900;0
215;694;2732.982;379;1478.551;35000;0.815741;0.110926;0.286481;0.017259;0.008889;0.003963;0;9.58;4518;2519;0;0;0;0;0;0.015;147200;356.981
216;693;8414.602;1097;1324.86;153001;4.089;0.882;0.522;0.064;0.004;0.031;38800;9.57;7455;4905;1000;4.1;3.729;20.23;8.39;0.016;154000;0
217;195;8466.644;1118;1320.158;144000;4.043;0.905;0.523;0.064;0.003;0.031;47400;9.56;7630;4229;0;3.5;3.211;18.42;7.01;0.019;145300;0
218;195;8546.899;1117;1302.03;144800;4.556;0.637;0.4;0.058;0.003;0.02;45800;9.56;5581;3256;0;3.3;3.116;17.23;7.17;0.017;147100;0
219;694;8492.583;1150;1342.848;146000;4.607;0.751;0.453;0.063;0.009;0.026;44900;9.55;6154;3625;0;3.3;3.074;16.84;7.61;0.023;147100;0
220;596;8367.475;1124;1351.655;153601;4.403;0.746;0.439;0.056;0.003;0.026;38000;9.57;6635;3732;0;3;2.667;16.8;8.26;0.072;154600;612.895
221;195;8198.023;968;1278.429;147201;4.207;0.613;0.473;0.062;0.002;0.022;38600;9.54;4520;3236;0;3.4;3.126;17.98;7.78;0.022;148200;0
222;694;7907.835;973;1308.865;149500;3.918;0.664;0.445;0.055;0;0.021;39600;9.55;4576;3395;0;3.3;2.922;15.87;9.06;0.023;150400;0
223;697;7971.039;977;1318.611;148901;4.336;0.565;0.481;0.063;0.003;0.02;40600;9.55;5197;3472;332;3.2;2.877;11.42;8.63;0.023;149900;0
224;698;8204.48;997;1330.383;150901;4.461;0.615;0.494;0.064;0.014;0.022;38500;9.54;4526;3447;0;3.2;2.873;15.09;8.28;0.026;151900;0
225;591;8152.31;1013;1302.984;148800;4.299;0.779;0.423;0.058;0.013;0.027;42100;9.55;5739;3958;0;3.4;3.01;18.42;8.84;0.025;148300;0
226;683;7841.691;970;1299.969;147000;4.377;0.813;0.382;0.055;0.003;0.028;42400;9.55;7187;3810;449;3.5;3.081;15.56;8.96;0.02;147700;0
227;591;7908.228;979;1307.358;150801;4.322;0.651;0.478;0.064;0.013;0.023;38000;9.54;4579;3403;247;3.3;2.961;16.5;8.98;0.028;151800;0
228;591;7991.35;983;1297.081;151201;4.255;0.737;0.548;0.071;0.012;0.027;38300;9.55;4938;3669;341;3.5;3.115;14.52;8.8;0.035;152200;0
229;591;8011.144;987;1323.953;147500;4.515;0.801;0.569;0.069;0.014;0.03;42200;9.54;5576;4030;493;3.4;3.105;15.88;8.56;0.031;148200;0
230;591;8301.887;998;1303.559;150400;4.579;0.503;0.445;0.064;0.013;0.019;36400;9.53;4531;3205;0;3.6;3.162;19.97;9.06;0.03;154100;0
231;591;8339.643;1032;1260.427;148900;4.181;0.733;0.547;0.073;0.013;0.027;40500;9.54;5409;3867;0;3.5;3.201;19.54;8.14;0.022;149700;0
232;591;8298.305;1019;1239.365;151500;4.036;0.756;0.492;0.061;0.014;0.026;39900;9.56;5628;3897;0;3.6;3.092;21.29;9.38;0.024;152600;0
233;591;8502.543;1020;1306.466;151500;4.458;0.584;0.491;0.063;0.004;0.021;40000;9.57;5020;3383;0;3.6;3.103;20.71;9.44;0.025;152300;0
234;591;5402.728;658;1416.781;84000;2.074732;0.350415;0.434707;0.035707;0.022512;0.012268;20300;9.53;5221;2857;0;3.3;2.9;19.71;8.45;0.018;170600;0
235;591;8271.626;1000;1328.905;148600;4.501;0.639;0.541;0.066;0.004;0.023;40000;9.55;5225;3505;680;3.7;3.14;20.8;9.61;0.021;150300;0
236;416;8007.982;957;1330.084;154800;4.184;0.49;0.503;0.065;0.003;0.017;32200;9.55;6518;3183;0;3.5;3.073;19.3;8.6;0.035;155700;0
237;416;8201.58;976;1318.124;149100;4.393;0.544;0.511;0.064;0.004;0.02;35200;9.53;6573;3270;0;3.5;3.086;19.12;8.49;0.027;152300;0
238;416;8027.987;985;1324.682;151700;4.564;0.491;0.521;0.067;0.003;0.018;35000;9.54;6031;3321;0;5.2;4.834;14.29;9.68;0.034;153200;0
239;416;8107.75;948;1304.036;151400;4.407;0.408;0.467;0.064;0.003;0.015;35700;9.54;5527;3158;0;4.8;4.571;15.41;8.72;0.033;152100;0
240;24;8392.143;1006;1359.753;149400;4.595;0.694;0.451;0.065;0.003;0.024;42300;9.57;4528;3614;515;4.3;3.827;19.8;9.49;0.024;150000;0
241;24;8220.234;1008;1303.394;153400;4.477;0.476;0.467;0.067;0.004;0.017;38100;9.57;5007;3440;0;4.7;4.376;16.53;8.92;0.026;154200;0
242;24;8326.816;982;1289.769;156400;4.475;0.339;0.443;0.067;0.004;0.011;35600;9.58;4527;3299;0;3.6;3.199;17.65;9.37;0.029;157200;0
243;24;8234.246;974;1280.722;155000;4.363;0.339;0.434;0.067;0.003;0.011;35100;9.56;4526;3234;534;4.7;4.255;16.17;10.17;0.026;157000;0
244;589;8185.64;1008;1276.161;147000;4.163;0.733;0.527;0.067;0.014;0.024;42000;9.55;4825;3624;494;4;3.642;17.33;9.28;0.029;149000;0
245;694;8022.073;995;1292.135;147900;4.167;0.805;0.53;0.064;0.009;0.027;42000;9.56;5470;3816;689;3.7;3.347;18.77;8.88;0.028;149000;0
246;694;8145.036;998;1331.35;147600;4.496;0.539;0.442;0.063;0.007;0.017;42000;9.56;4529;3167;0;3.6;3.132;15.43;10.16;0.034;151200;0
247;693;8308.641;1036;1324.576;148400;4.464;0.557;0.485;0.066;0.003;0.019;42400;9.56;5117;3705;1234;3.8;3.424;16.09;9.49;0.029;149700;0
248;694;8144.163;978;1312.144;147600;4.48;0.582;0.43;0.065;0.009;0.018;42200;9.56;4524;3235;661;3.5;3.057;15.95;10.1;0.028;149600;0
249;673;7718;965;1305.572;141900;4.401;0.526;0.496;0.07;0.004;0.017;41900;9.52;5069;3148;0;4.4;4.016;15.76;9.83;0.021;144100;0
250;673;7972.481;961;1274.257;151600;4.439;0.523;0.494;0.068;0.002;0.017;33500;9.53;5084;3229;160;3.8;3.461;16.94;9.15;0.02;154100;0
