Tavba è.;Teplota (°C);Uhlík (%)
353;1622;0.047
354;1646;0.035
355;1638;0.032
356;1638;0.038
357;1646;0.066
358;1649;0.065
359;1599;0.071
360;1633;0.047
361;1681;0.028
362;1667;0.045
363;1694;0.048
364;1692;0.047
365;1687;0.08
366;1690;0.058
367;1679;0.064
368;1692;0
369;1709;0.037
370;1644;0.044
371;1659;0.041
372;1647;0.043
373;1648;0.041
374;1654;0.053
375;1672;0.044
376;1638;0.048
377;1672;0.048
378;1649;0.035
379;1664;0.045
380;1649;0.057
381;1658;0.045
382;1643;0.053
383;1673;0.048
384;1633;0.047
385;1677;0.038
386;1668;0.032
387;1635;0.037
388;1657;0.042
389;1663;0.036
390;1655;0.036
391;1673;0.029
392;1608;0.033
393;1662;0.029
394;1656;0.034
395;1687;0.029
396;1641;0.051
397;1648;0.039
398;1659;0.032
399;1614;0.04
400;1658;0.041
401;1660;0.043
402;1595;0.036
403;1635;0.037
404;1647;0.041
405;1654;0.039
406;1628;0.04
407;1658;0.038
408;1661;0.044
409;1688;0.035
410;1667;0.051
411;1666;0.041
412;1667;0.037
413;1665;0.051
414;1682;0.052
415;1649;0.054
416;1669;0.051
417;1653;0.04
418;1685;0.041
419;1693;0.032
420;1630;0.032
421;1654;0.056
422;1674;0.038
423;1658;0.04
424;1677;0.045
425;1676;0.048
426;1663;0.059
427;1655;0.05
428;1697;0.044
429;1686;0.036
430;1686;0.047
431;1669;0.039
432;1669;0.045
433;1659;0.042
434;1646;0.034
435;1664;0.034
436;1638;0.044
437;1652;0.043
438;1650;0.044
439;1698;0.036
440;1692;0.059
441;1663;0.06
442;1698;0.038
443;1708;0.028
444;1672;0.035
445;1689;0.029
446;1683;0.045
447;1674;0.045
448;1659;0.05
449;1671;0.051
450;1673;0.037
451;1671;0.041
452;1673;0.04
453;1653;0.037
454;1673;0.03
455;1666;0.043
456;1671;0.051
457;1657;0.035
458;1686;0.053
459;1640;0.062
460;1669;0.041
461;1684;0.064
462;1650;0.053
463;1639;0.057
464;1662;0.033
465;1659;0.055
466;1669;0.04
467;1661;0.05
468;1628;0.047
469;1640;0.047
470;1636;0.04
471;1663;0.033
472;1605;0.056
473;1670;0.051
474;1658;0.031
475;1608;0.061
476;1671;0.044
477;1708;0.041
478;1688;0.033
479;1714;0.048
480;1689;0.03
481;1710;0.021
482;1684;0.039
483;1666;0.042
484;1668;0.037
485;1653;0.039
486;1656;0.042
487;1664;0.041
488;1634;0.041
489;1633;0.039
490;1661;0.052
491;1633;0.044
492;1634;0.053
493;1643;0.066
494;1631;0.077
495;1648;0.042
496;1664;0.06
497;1690;0.037
498;1679;0.041
499;1677;0.046
500;1699;0.04
501;1684;0.046
502;1666;0.056
503;1708;0.041
504;1651;0.053
505;1654;0.048
506;1655;0.055
507;1672;0.077
508;1611;0.06
509;1651;0.051
510;1657;0.078
511;1646;0.049
512;1647;0.064
513;1654;0.075
514;1651;0.075
515;1655;0.058
516;1650;0.033
517;1614;0.039
518;1631;0.075
519;1630;0.065
520;1672;0.039
521;1681;0.029
522;1639;0.047
523;1682;0.035
524;1656;0.049
525;1673;0.048
526;1674;0.048
527;1694;0.049
528;1693;0.029
529;1680;0.035
530;1655;0.046
531;1654;0.047
532;1671;0.091
533;1658;0.046
534;1687;0.062
535;1645;0.054
536;1643;0.055
537;1660;0.055
538;1652;0.04
539;1642;0.043
540;1651;0.039
541;1662;0.054
542;1703;0.054
543;1658;0.047
544;1626;0.062
545;1700;0.025
546;1644;0.043
547;1702;0.033
548;1673;0.028
549;1689;0.044
550;1676;0.033
551;1703;0.035
552;1663;0.046
553;1651;0.049
554;1717;0.039
555;1662;0.04
556;1660;0.054
557;1628;0.046
558;1705;0.038
559;1619;0.065
560;1694;0.052
561;1676;0.038
562;1671;0.038
563;1666;0.048
564;1656;0.04
565;1672;0.035
566;1649;0.046
567;1676;0.044
568;1652;0.048
569;1651;0.049
570;1667;0.075
571;1682;0.048
572;1636;0.062
573;1673;0.046
574;1682;0.068
575;1671;0.047
576;1659;0.05
577;1662;0.059
578;1644;0.051
579;1648;0.037
580;1684;0.056
581;1656;0.053
582;1650;0.051
583;1651;0.057
584;1662;0.048
585;1630;0.059
586;1686;0.06
587;1644;0.048
588;1685;0.046
589;1653;0.039
590;1644;0.054
591;1665;0.038
592;1673;0.048
593;1654;0.047
594;1650;0.061
595;1659;0.05
596;1624;0.06
597;1681;0.045
598;1587;0.047
599;1674;0.047
600;1617;0.053
601;1665;0.039
602;1645;0.039
603;1642;0.054
604;1644;0.054
605;1665;0.042
606;1637;0.037
607;1651;0.045
608;1598;0.042
609;1615;0.074
610;1645;0.034
611;1659;0.032
612;1654;0.032
613;1662;0.053
614;1669;0.037
615;1659;0.027
616;1661;0.04
617;1677;0.041
618;1667;0.042
619;1683;0.04
620;1671;0.037
621;1678;0.045
622;1691;0
623;1675;0.043
624;1663;0.053
625;1646;0.051
626;1655;0.047
627;1627;0.052
628;1638;0.042
629;1673;0.047
